tmid,SCIENTIFIC_NAME,TPA
167,Carpinus caroliniana,248.968024
96,Pinus taeda,201.34424599999997
97,Pinus palustris,552.0984620000003
1471,Celtis laevigata,224.89584000000002
1357,Sassafras albidum,455.80972600000007
496,Liquidambar styraciflua,854.7083100000001
463,Pinus taeda,1547.9705579999982
493,Cornus florida,380.84444600000006
502,Quercus laurifolia,1073.586104
1548,Liquidambar styraciflua,824.6180800000001
506,Liquidambar styraciflua,261.004116
89,Fraxinus pennsylvanica,129.127694
166,Nyssa sylvatica,74.96528
168,Fagus grandifolia,149.93056
1616,Liquidambar styraciflua,530.7750060000001
1609,Fraxinus pennsylvanica,605.7402860000001
837,Quercus nigra,155.948606
1191,Pinus taeda,2175.034299999999
1192,Pinus elliottii,698.759704
1193,Carya alba,149.93056
1174,Prunus serotina,149.93056
1987,Pinus taeda,354.5441240000004
1361,Ulmus rubra,605.7402860000001
775,Acer rubrum,1061.5500120000002
190,Pinus taeda,1653.5466579999984
931,Pinus taeda,432.25813200000016
70,Pinus taeda,549.3497340000006
71,Pinus elliottii,728.8499340000001
75,Quercus falcata,530.7750060000001
94,Quercus nigra,584.9374200000003
1552,Liquidambar styraciflua,572.901328
1549,Pinus taeda,525.2775500000004
1512,Pinus taeda,495.18732000000034
1547,Liquidambar styraciflua,311.897212
1545,Quercus nigra,578.9193740000001
1557,Pinus taeda,222.147112
930,Pinus taeda,609.5301940000006
358,Liquidambar styraciflua,473.8638640000001
1832,Pinus taeda,285.0763
362,Pinus taeda,537.8342320000003
1634,Pinus taeda,1275.4509400000004
811,Pinus taeda,159.21792399999998
1633,Pinus taeda,1574.7914699999988
841,Pinus taeda,294.8842540000001
842,Acer rubrum,311.8972120000001
840,Quercus phellos,149.93056
189,Pinus taeda,248.968024
1818,Pinus taeda,177.27206199999998
1157,Oxydendrum arboreum,204.092974
1111,Acer barbatum,341.9874420000001
1454,Acer barbatum,291.09434600000003
1369,Prunus serotina,87.001372
1367,Liquidambar styraciflua,174.002744
1456,Fagus grandifolia,74.96528
1449,Acer barbatum,87.001372
652,Pinus taeda,282.32757200000003
1506,Liquidambar styraciflua,1421.5915919999998
647,Pinus taeda,523.0494120000005
809,Quercus nigra,348.00548800000007
2118,Quercus nigra,755.6708460000001
262,Cornus florida,299.86112
643,Pinus taeda,530.7750060000001
633,Pinus taeda,147.18183199999999
1554,Quercus nigra,467.845818
1836,Quercus prinus,267.02216200000004
1833,Quercus prinus,645.1178800000004
1827,Quercus nigra,230.91388600000002
367,Pinus taeda,1050.5551000000005
1822,Pinus taeda,570.1526000000005
350,Diospyros virginiana,299.86112
1805,Quercus nigra,87.001372
1797,Liquidambar styraciflua,455.80972600000007
1771,Quercus alba,311.8972120000001
651,Ulmus americana,99.037464
924,Liquidambar styraciflua,749.6528000000001
1151,Cercis canadensis,224.89584000000002
1163,Acer barbatum,404.91663000000005
1113,Ostrya virginiana,149.93056
1112,Nyssa sylvatica,167.984698
11,Pinus taeda,210.63160999999997
1317,Pinus taeda,150.45114999999998
245,Pinus taeda,1250.8581659999993
259,Pinus taeda,969.0511840000006
229,Pinus taeda,258.77597799999995
1890,Pinus taeda,915.4093600000006
1897,Liriodendron tulipifera,311.8972120000001
1899,Pinus taeda,1025.9623260000003
1815,Acer rubrum,305.87916600000005
693,Carya glabra,224.89584000000002
369,Liquidambar styraciflua,348.005488
23,Quercus nigra,230.91388600000002
373,Carya glabra,111.073556
1885,Cornus florida,149.93056
1902,Pinus taeda,297.63298200000014
1898,Liriodendron tulipifera,386.8624920000001
1160,Liquidambar styraciflua,66.198506
849,Acer rubrum,524.75696
851,Cercis canadensis,449.79168000000004
858,Carya glabra,224.89584000000002
263,Acer rubrum,161.966652
261,Pinus taeda,441.54549600000024
702,Nyssa biflora,524.75696
539,Carya glabra,149.93056
690,Pinus taeda,2579.95093
674,Pinus taeda,222.66770199999996
689,Quercus nigra,224.89584000000002
673,Pinus taeda,445.3354040000008
